i,gPopulation,gDiffusionRate,gEvaporationRate,medFood1,medFood2,medFood3
14.0,125.0,25.0,25.0,326.5,1203.5,2327.5
60.0,125.0,25.0,25.0,322.0,1214.5,2334.5
28.0,125.0,25.0,25.0,318.0,1208.0,2368.0
55.0,125.0,25.0,25.0,322.0,1213.5,2342.5
3.0,125.0,25.0,25.0,321.5,1246.0,2303.5
23.0,125.0,25.0,25.0,310.5,1226.0,2368.0
51.0,125.0,25.0,25.0,327.0,1222.5,2332.5
80.0,125.0,25.0,25.0,329.0,1181.5,2375.5
13.0,125.0,25.0,25.0,317.0,1188.5,2306.0
93.0,125.0,25.0,25.0,373.5,1156.5,2368.0
99.0,125.0,25.0,25.0,340.0,1262.0,2348.0
73.0,125.0,25.0,25.0,322.5,1229.0,2400.0
45.0,125.0,25.0,25.0,321.5,1185.0,2423.0
30.0,125.0,25.0,25.0,328.5,1229.0,2349.0
25.0,125.0,25.0,25.0,300.5,1198.0,2368.0
36.0,125.0,25.0,25.0,303.5,1152.0,2372.5
97.0,125.0,25.0,25.0,325.0,1197.5,2364.0
53.0,125.0,25.0,25.0,308.0,1239.0,2350.5
18.0,125.0,25.0,25.0,310.0,1219.0,2328.5
92.0,125.0,25.0,25.0,312.5,1227.0,2387.0
40.0,125.0,25.0,25.0,319.5,1181.0,2374.5
75.0,125.0,25.0,25.0,315.0,1222.5,2335.0
89.0,125.0,25.0,25.0,302.5,1155.5,2336.5
68.0,125.0,25.0,25.0,315.0,1256.5,2360.0
64.0,125.0,25.0,25.0,347.5,1183.5,2310.0
43.0,125.0,25.0,25.0,313.0,1190.0,2327.5
62.0,125.0,25.0,25.0,305.0,1199.0,2351.5
72.0,125.0,25.0,25.0,319.0,1239.0,2373.5
94.0,125.0,25.0,25.0,319.0,1224.5,2350.5
32.0,125.0,25.0,25.0,314.5,1229.5,2312.5
71.0,125.0,25.0,25.0,323.5,1289.5,2338.5
41.0,125.0,25.0,25.0,330.5,1235.0,2263.0
49.0,125.0,25.0,25.0,332.5,1190.0,2369.0
70.0,125.0,25.0,25.0,335.0,1195.5,2245.5
52.0,125.0,25.0,25.0,336.5,1234.5,2342.5
85.0,125.0,25.0,25.0,321.5,1245.5,2367.5
81.0,125.0,25.0,25.0,322.5,1263.5,2297.0
7.0,125.0,25.0,25.0,308.5,1192.0,2390.5
100.0,125.0,25.0,25.0,322.0,1209.0,2319.0
47.0,125.0,25.0,25.0,307.0,1205.0,2387.0
19.0,125.0,25.0,25.0,327.5,1176.0,2402.5
67.0,125.0,25.0,25.0,317.0,1256.5,2319.5
17.0,125.0,25.0,25.0,312.5,1177.0,2416.5
