i,gPopulation,gDiffusionRate,gEvaporationRate,medFood1,medFood2,medFood3
91.0,125.0,25.0,25.0,316.0,1222.0,2450.0
54.0,125.0,25.0,25.0,323.5,1210.0,2374.0
79.0,125.0,25.0,25.0,316.5,1141.0,2419.0
29.0,125.0,25.0,25.0,323.0,1217.0,2319.5
2.0,125.0,25.0,25.0,347.5,1270.0,2291.0
98.0,125.0,25.0,25.0,320.5,1250.0,2296.0
6.0,125.0,25.0,25.0,327.0,1176.5,2414.0
87.0,125.0,25.0,25.0,317.0,1221.5,2280.5
76.0,125.0,25.0,25.0,313.5,1201.5,2378.5
27.0,125.0,25.0,25.0,307.0,1191.0,2315.5
20.0,125.0,25.0,25.0,316.5,1227.0,2320.0
11.0,125.0,25.0,25.0,323.5,1204.5,2379.5
15.0,125.0,25.0,25.0,314.5,1192.0,2389.5
61.0,125.0,25.0,25.0,326.0,1212.0,2387.0
42.0,125.0,25.0,25.0,319.0,1240.5,2354.0
24.0,125.0,25.0,25.0,311.0,1207.0,2345.5
74.0,125.0,25.0,25.0,327.5,1153.5,2364.0
96.0,125.0,25.0,25.0,306.0,1241.5,2287.0
31.0,125.0,25.0,25.0,316.5,1201.5,2362.5
16.0,125.0,25.0,25.0,351.5,1251.0,2322.5
90.0,125.0,25.0,25.0,313.0,1287.0,2380.0
65.0,125.0,25.0,25.0,333.0,1266.5,2394.0
35.0,125.0,25.0,25.0,331.5,1257.0,2355.0
66.0,125.0,25.0,25.0,316.0,1224.5,2409.5
84.0,125.0,25.0,25.0,332.0,1188.0,2342.0
5.0,125.0,25.0,25.0,324.0,1232.5,2379.5
58.0,125.0,25.0,25.0,323.0,1207.0,2342.0
34.0,125.0,25.0,25.0,321.0,1235.0,2268.0
26.0,125.0,25.0,25.0,331.0,1194.5,2364.0
56.0,125.0,25.0,25.0,337.5,1191.0,2375.0
12.0,125.0,25.0,25.0,319.5,1186.0,2343.0
82.0,125.0,25.0,25.0,332.5,1219.5,2396.0
39.0,125.0,25.0,25.0,315.5,1149.5,2347.0
44.0,125.0,25.0,25.0,302.5,1224.0,2429.0
69.0,125.0,25.0,25.0,326.5,1206.0,2319.0
83.0,125.0,25.0,25.0,330.0,1215.0,2342.5
63.0,125.0,25.0,25.0,321.0,1282.5,2362.5
33.0,125.0,25.0,25.0,339.5,1234.0,2319.0
46.0,125.0,25.0,25.0,319.0,1259.5,2352.0
37.0,125.0,25.0,25.0,322.0,1153.5,2372.5
77.0,125.0,25.0,25.0,300.5,1227.0,2417.0
8.0,125.0,25.0,25.0,321.5,1270.0,2308.0
22.0,125.0,25.0,25.0,305.5,1261.5,2365.5
1.0,125.0,25.0,25.0,310.5,1208.5,2348.5
9.0,125.0,25.0,25.0,308.0,1205.0,2330.0
0.0,125.0,25.0,25.0,314.0,1231.0,2394.0
50.0,125.0,25.0,25.0,303.5,1194.0,2348.0
48.0,125.0,25.0,25.0,324.5,1293.5,2346.5
10.0,125.0,25.0,25.0,336.5,1178.0,2347.0
86.0,125.0,25.0,25.0,329.0,1234.0,2356.5
78.0,125.0,25.0,25.0,315.5,1228.0,2302.5
57.0,125.0,25.0,25.0,326.0,1229.0,2357.5
95.0,125.0,25.0,25.0,315.5,1223.5,2299.0
59.0,125.0,25.0,25.0,321.0,1208.0,2388.0
21.0,125.0,25.0,25.0,309.0,1226.0,2451.5
88.0,125.0,25.0,25.0,332.0,1255.5,2316.0
38.0,125.0,25.0,25.0,340.5,1235.0,2326.5
4.0,125.0,25.0,25.0,323.5,1219.0,2382.0
