i,gPopulation,gDiffusionRate,gEvaporationRate,medFood1,medFood2,medFood3
11.0,125.0,25.0,25.0,304.0,1241.5,2500.0
15.0,125.0,25.0,25.0,340.5,1200.0,2439.0
14.0,125.0,25.0,25.0,305.5,1241.0,2364.5
13.0,125.0,25.0,25.0,291.0,1223.5,2371.5
12.0,125.0,25.0,25.0,277.0,1241.5,2244.0
91.0,125.0,25.0,25.0,293.0,1223.0,2416.5
92.0,125.0,25.0,25.0,310.5,1279.0,2366.0
94.0,125.0,25.0,25.0,334.5,1309.0,2239.0
95.0,125.0,25.0,25.0,336.5,1142.0,2455.5
93.0,125.0,25.0,25.0,302.5,1236.0,2275.0
66.0,125.0,25.0,25.0,367.0,1100.5,2416.5
67.0,125.0,25.0,25.0,323.0,1234.0,2339.0
69.0,125.0,25.0,25.0,309.0,1145.0,2413.0
70.0,125.0,25.0,25.0,378.5,1240.5,2294.0
68.0,125.0,25.0,25.0,283.5,1292.5,2414.5
41.0,125.0,25.0,25.0,340.5,1139.5,2329.5
43.0,125.0,25.0,25.0,299.5,1257.0,2348.5
45.0,125.0,25.0,25.0,301.5,1287.0,2373.0
44.0,125.0,25.0,25.0,339.0,1216.0,2304.5
42.0,125.0,25.0,25.0,331.0,1224.0,2490.5
46.0,125.0,25.0,25.0,304.5,1071.0,2405.0
48.0,125.0,25.0,25.0,306.5,1193.0,2288.0
50.0,125.0,25.0,25.0,328.5,1167.0,2309.5
49.0,125.0,25.0,25.0,377.0,1167.0,2324.0
47.0,125.0,25.0,25.0,299.0,1117.0,2336.5
96.0,125.0,25.0,25.0,315.0,1154.5,2299.5
98.0,125.0,25.0,25.0,316.0,1177.0,2304.0
100.0,125.0,25.0,25.0,309.5,1091.5,2567.0
99.0,125.0,25.0,25.0,304.5,1234.0,2383.5
97.0,125.0,25.0,25.0,333.5,1191.0,2403.5
31.0,125.0,25.0,25.0,297.0,1195.0,2278.0
33.0,125.0,25.0,25.0,310.5,1278.0,2301.0
35.0,125.0,25.0,25.0,302.0,1295.0,2222.5
34.0,125.0,25.0,25.0,331.0,1329.0,2371.0
32.0,125.0,25.0,25.0,361.0,1291.5,2252.0
76.0,125.0,25.0,25.0,309.5,1135.0,2372.5
78.0,125.0,25.0,25.0,348.0,1195.5,2303.0
80.0,125.0,25.0,25.0,293.5,1332.5,2330.0
79.0,125.0,25.0,25.0,327.0,1170.5,2448.0
77.0,125.0,25.0,25.0,299.5,1298.0,2357.5
81.0,125.0,25.0,25.0,302.5,1241.5,2320.0
83.0,125.0,25.0,25.0,311.5,1170.5,2465.0
85.0,125.0,25.0,25.0,320.0,1199.0,2367.0
84.0,125.0,25.0,25.0,287.5,1263.5,2413.0
82.0,125.0,25.0,25.0,312.5,1176.5,2422.5
16.0,125.0,25.0,25.0,320.0,1250.5,2390.5
18.0,125.0,25.0,25.0,324.5,1230.5,2340.0
20.0,125.0,25.0,25.0,288.5,1201.0,2412.0
19.0,125.0,25.0,25.0,293.5,1235.5,2246.0
17.0,125.0,25.0,25.0,329.5,1155.5,2372.0
1.0,125.0,25.0,25.0,306.0,1236.0,2318.5
3.0,125.0,25.0,25.0,306.0,1244.0,2541.5
5.0,125.0,25.0,25.0,356.0,1219.0,2355.0
4.0,125.0,25.0,25.0,290.5,1202.0,2213.5
2.0,125.0,25.0,25.0,319.5,1313.0,2470.5
86.0,125.0,25.0,25.0,342.0,1252.5,2248.5
88.0,125.0,25.0,25.0,300.5,1311.5,2323.5
90.0,125.0,25.0,25.0,336.0,1255.0,2460.0
89.0,125.0,25.0,25.0,308.0,1138.5,2397.0
87.0,125.0,25.0,25.0,303.5,1241.0,2279.5
6.0,125.0,25.0,25.0,303.5,1209.0,2462.5
8.0,125.0,25.0,25.0,342.5,1219.0,2355.0
10.0,125.0,25.0,25.0,292.5,1186.0,2318.0
9.0,125.0,25.0,25.0,311.5,1195.0,2240.0
7.0,125.0,25.0,25.0,301.0,1253.0,2472.0
26.0,125.0,25.0,25.0,321.5,1326.5,2377.0
28.0,125.0,25.0,25.0,293.5,1211.0,2338.5
30.0,125.0,25.0,25.0,353.5,1122.5,2251.5
29.0,125.0,25.0,25.0,378.0,1152.5,2299.5
27.0,125.0,25.0,25.0,305.5,1280.5,2437.0
51.0,125.0,25.0,25.0,311.5,1275.5,2257.0
53.0,125.0,25.0,25.0,347.0,1216.5,2390.0
55.0,125.0,25.0,25.0,339.0,1354.5,2316.5
54.0,125.0,25.0,25.0,341.5,1277.5,2328.0
52.0,125.0,25.0,25.0,318.0,1224.5,2256.0
61.0,125.0,25.0,25.0,328.5,1283.5,2271.5
63.0,125.0,25.0,25.0,319.5,1341.0,2371.0
65.0,125.0,25.0,25.0,330.5,1203.5,2416.5
64.0,125.0,25.0,25.0,349.5,1305.5,2416.5
62.0,125.0,25.0,25.0,311.5,1272.5,2234.0
21.0,125.0,25.0,25.0,342.5,1150.0,2432.0
22.0,125.0,25.0,25.0,310.5,1210.0,2388.0
24.0,125.0,25.0,25.0,304.5,1266.0,2372.5
25.0,125.0,25.0,25.0,342.5,1141.0,2260.5
23.0,125.0,25.0,25.0,300.0,1259.5,2200.5
71.0,125.0,25.0,25.0,379.5,1234.5,2402.0
73.0,125.0,25.0,25.0,321.5,1083.5,2334.5
75.0,125.0,25.0,25.0,353.0,1172.5,2434.5
74.0,125.0,25.0,25.0,336.5,1149.0,2332.0
72.0,125.0,25.0,25.0,337.0,1200.5,2445.5
36.0,125.0,25.0,25.0,328.5,1189.5,2308.5
37.0,125.0,25.0,25.0,316.0,1342.5,2383.0
39.0,125.0,25.0,25.0,306.0,1352.5,2402.0
40.0,125.0,25.0,25.0,313.0,1139.0,2396.5
38.0,125.0,25.0,25.0,302.5,1143.0,2416.5
56.0,125.0,25.0,25.0,303.0,1097.0,2304.0
58.0,125.0,25.0,25.0,297.0,1177.5,2398.5
60.0,125.0,25.0,25.0,311.5,1256.5,2354.0
59.0,125.0,25.0,25.0,313.5,1200.5,2410.0
57.0,125.0,25.0,25.0,347.5,1170.5,2344.5
0.0,125.0,25.0,25.0,319.0,1219.0,2431.0
