i,gPopulation,gDiffusionRate,gEvaporationRate,medFood1,medFood2,medFood3
59.0,125.0,25.0,25.0,327.0,1199.0,2384.0
93.0,125.0,25.0,25.0,311.5,1192.5,2353.0
95.0,125.0,25.0,25.0,323.5,1207.0,2309.0
0.0,125.0,25.0,25.0,305.5,1215.5,2369.5
35.0,125.0,25.0,25.0,325.5,1211.0,2364.0
58.0,125.0,25.0,25.0,310.0,1262.0,2335.0
3.0,125.0,25.0,25.0,321.5,1203.5,2321.5
14.0,125.0,25.0,25.0,327.5,1206.5,2334.0
15.0,125.0,25.0,25.0,322.0,1228.0,2380.5
34.0,125.0,25.0,25.0,310.0,1211.5,2341.5
1.0,125.0,25.0,25.0,309.0,1235.0,2325.0
51.0,125.0,25.0,25.0,322.5,1206.0,2357.0
62.0,125.0,25.0,25.0,316.5,1213.5,2311.0
66.0,125.0,25.0,25.0,325.0,1228.0,2325.5
4.0,125.0,25.0,25.0,313.0,1232.0,2363.5
22.0,125.0,25.0,25.0,327.0,1250.5,2390.0
29.0,125.0,25.0,25.0,308.0,1217.5,2365.0
56.0,125.0,25.0,25.0,312.5,1207.0,2324.0
67.0,125.0,25.0,25.0,313.0,1216.0,2330.0
75.0,125.0,25.0,25.0,332.0,1233.5,2353.5
41.0,125.0,25.0,25.0,311.0,1226.0,2296.5
40.0,125.0,25.0,25.0,316.5,1244.5,2354.5
39.0,125.0,25.0,25.0,324.5,1223.5,2327.5
31.0,125.0,25.0,25.0,321.0,1228.0,2333.0
2.0,125.0,25.0,25.0,331.5,1223.0,2378.5
13.0,125.0,25.0,25.0,321.5,1193.0,2308.0
10.0,125.0,25.0,25.0,313.5,1216.5,2361.5
16.0,125.0,25.0,25.0,316.0,1224.0,2352.0
21.0,125.0,25.0,25.0,317.5,1225.0,2329.0
23.0,125.0,25.0,25.0,332.0,1237.0,2327.5
27.0,125.0,25.0,25.0,309.0,1210.5,2419.5
26.0,125.0,25.0,25.0,305.5,1224.0,2342.5
30.0,125.0,25.0,25.0,316.5,1205.5,2336.5
100.0,125.0,25.0,25.0,319.5,1239.5,2349.5
48.0,125.0,25.0,25.0,332.0,1197.0,2324.5
43.0,125.0,25.0,25.0,322.0,1234.0,2370.5
60.0,125.0,25.0,25.0,330.5,1207.0,2338.5
74.0,125.0,25.0,25.0,323.5,1232.5,2324.5
77.0,125.0,25.0,25.0,327.5,1222.0,2313.5
70.0,125.0,25.0,25.0,326.0,1197.5,2278.0
11.0,125.0,25.0,25.0,314.5,1200.5,2348.5
28.0,125.0,25.0,25.0,309.5,1231.0,2325.5
25.0,125.0,25.0,25.0,320.0,1179.0,2358.0
54.0,125.0,25.0,25.0,313.5,1238.5,2324.5
69.0,125.0,25.0,25.0,327.0,1228.5,2364.5
85.0,125.0,25.0,25.0,309.5,1196.0,2358.5
50.0,125.0,25.0,25.0,313.0,1243.5,2351.0
73.0,125.0,25.0,25.0,320.5,1174.0,2387.0
78.0,125.0,25.0,25.0,319.5,1266.0,2328.0
86.0,125.0,25.0,25.0,319.5,1225.5,2384.0
94.0,125.0,25.0,25.0,315.0,1200.5,2368.0
8.0,125.0,25.0,25.0,317.0,1210.0,2347.5
68.0,125.0,25.0,25.0,344.0,1198.0,2338.0
96.0,125.0,25.0,25.0,322.0,1245.0,2333.5
76.0,125.0,25.0,25.0,317.0,1269.0,2330.5
91.0,125.0,25.0,25.0,318.5,1225.5,2332.5
71.0,125.0,25.0,25.0,323.5,1185.0,2342.0
12.0,125.0,25.0,25.0,336.5,1209.5,2365.5
20.0,125.0,25.0,25.0,322.0,1250.5,2331.0
87.0,125.0,25.0,25.0,318.5,1226.0,2376.5
53.0,125.0,25.0,25.0,314.5,1237.5,2297.0
64.0,125.0,25.0,25.0,323.0,1198.5,2324.0
45.0,125.0,25.0,25.0,315.0,1198.5,2347.5
49.0,125.0,25.0,25.0,328.0,1242.5,2344.0
61.0,125.0,25.0,25.0,317.0,1235.5,2358.0
99.0,125.0,25.0,25.0,320.0,1224.0,2385.5
89.0,125.0,25.0,25.0,319.5,1253.5,2329.0
81.0,125.0,25.0,25.0,307.0,1188.5,2328.0
97.0,125.0,25.0,25.0,316.0,1224.0,2367.5
17.0,125.0,25.0,25.0,328.5,1216.5,2333.5
19.0,125.0,25.0,25.0,322.5,1234.5,2331.5
18.0,125.0,25.0,25.0,324.5,1273.0,2342.5
32.0,125.0,25.0,25.0,314.5,1253.0,2334.0
79.0,125.0,25.0,25.0,327.0,1201.0,2366.0
83.0,125.0,25.0,25.0,317.5,1221.5,2342.5
92.0,125.0,25.0,25.0,321.5,1249.5,2366.5
72.0,125.0,25.0,25.0,318.5,1227.0,2347.5
42.0,125.0,25.0,25.0,315.5,1232.5,2331.5
47.0,125.0,25.0,25.0,317.5,1241.0,2326.0
98.0,125.0,25.0,25.0,320.5,1198.0,2340.0
65.0,125.0,25.0,25.0,316.5,1242.5,2313.5
6.0,125.0,25.0,25.0,329.5,1271.0,2353.0
9.0,125.0,25.0,25.0,314.0,1254.0,2336.5
24.0,125.0,25.0,25.0,323.0,1228.0,2359.5
33.0,125.0,25.0,25.0,320.0,1272.0,2361.0
46.0,125.0,25.0,25.0,318.5,1248.0,2332.0
36.0,125.0,25.0,25.0,321.0,1229.0,2397.0
82.0,125.0,25.0,25.0,322.5,1232.5,2422.0
5.0,125.0,25.0,25.0,326.0,1219.0,2393.0
7.0,125.0,25.0,25.0,315.0,1203.5,2286.5
38.0,125.0,25.0,25.0,318.0,1209.5,2372.5
37.0,125.0,25.0,25.0,310.5,1210.5,2338.5
44.0,125.0,25.0,25.0,315.0,1225.5,2377.5
90.0,125.0,25.0,25.0,316.0,1222.5,2341.5
63.0,125.0,25.0,25.0,331.0,1247.5,2354.0
88.0,125.0,25.0,25.0,320.0,1233.5,2396.0
57.0,125.0,25.0,25.0,316.5,1242.5,2346.5
80.0,125.0,25.0,25.0,324.0,1176.0,2370.0
84.0,125.0,25.0,25.0,308.0,1236.0,2329.0
55.0,125.0,25.0,25.0,315.5,1258.0,2375.5
52.0,125.0,25.0,25.0,318.5,1232.5,2339.5
