evolution$generation,gPopulation,gDiffusionRate,gEvaporationRate,food1,food2,food3,evolution$samples
1616,209.12601678389407,99.0,17.724410859528053,158.0,417.0,2185.0,1
1616,171.4451831664107,20.49479346115871,9.368115148063287,253.0,388.0,432.0,1
1616,160.38188478337312,99.0,10.789425932016949,478.0,224.0,625.0,1
1616,229.74166076025028,33.76216701674159,95.66586353991268,474.0,579.0,821.0,5
1616,117.46324868802013,41.71462011497633,7.955755987909636,200.0,807.0,456.0,1
1616,166.58679176489778,75.20409835758544,15.060076691784804,187.5,415.5,1467.5,2
1616,198.49195485670182,83.72314290528811,10.82930195376765,181.5,589.5,575.5,2
1616,179.97676942257115,73.14829638926825,17.4108881268441,175.0,474.5,2003.0,4
1616,141.6585802695999,88.44606823871695,6.760001909465274,220.0,775.5,448.0,2
1616,250.0,78.83630490498086,16.970608438224108,165.0,404.0,1076.0,1
1616,210.2297001232049,99.0,10.599756487505063,225.0,259.0,599.0,1
1616,229.8825914677627,18.55639681729506,3.7146951529181083,222.5,345.5,446.5,2
1616,186.31563002355134,99.0,13.868780912546397,163.0,462.0,774.0,1
1616,170.39546285377938,65.75334741219454,1.5769525094910382,268.5,448.0,634.0,4
1616,223.1894394715959,78.38507918846318,12.850575249591975,170.5,438.0,612.5,2
1616,245.4595844980274,61.182399857691834,6.5582813779991005,192.0,288.0,640.0,1
1616,166.94754260647906,29.23950967533899,9.357094906578505,206.0,333.0,712.5,4
1616,232.00485664109266,99.0,11.070644552158175,191.0,382.5,585.5,2
1616,220.10551959864043,44.03894920039872,7.502712144302739,208.0,268.0,685.0,1
1616,213.5699279226396,19.33983761279342,4.354769434272313,214.5,361.5,450.0,2
1616,175.22999922177735,53.40732554676914,6.792105266806973,183.0,326.0,716.0,1
1616,238.14346150265646,24.465906720838326,12.570746388100902,189.0,364.0,662.0,1
1616,248.96083399667552,25.774740789419493,3.34367300533088,191.0,338.0,485.0,1
1616,250.0,61.414170692512194,3.5441531202097942,249.0,340.5,459.0,2
1616,210.04242514241454,15.79857228241688,4.640175276538333,206.0,328.5,461.5,2
1616,250.0,7.779604280343217,5.929677689434142,243.0,285.0,478.0,1
1616,242.94424243080016,48.53262074178741,11.586089155953324,193.5,300.0,614.5,2
1616,200.97549715442054,12.820983363643517,4.899908306405026,193.0,356.0,479.0,3
1616,236.86422513448227,63.18240190695111,13.103705762241363,179.0,351.0,687.0,1
1616,250.0,84.66468198584694,10.50373066280626,187.0,420.0,527.0,1
1616,223.14202793120225,89.47173118768094,12.891903293721168,176.0,424.0,765.0,1
1616,185.99335125627252,36.025197120635646,6.742353443611794,191.0,331.5,754.0,4
1616,217.01457399781188,51.629694035777305,10.916697292520666,163.0,486.0,620.0,1
1616,250.0,47.86209568615714,14.538116752915128,175.0,465.0,577.0,1
1616,246.3587383408802,12.886286630027787,7.833711242272044,214.5,320.5,583.5,2
1616,204.6192654178839,58.1213126971765,11.377605487349713,185.0,306.0,726.0,1
1616,237.2716588588023,23.90001464026966,8.685548863134121,189.5,318.5,682.5,2
1616,204.4362886797325,17.681594426209998,6.545770522115883,210.0,316.0,475.0,1
1616,196.55212958284167,82.66656249150293,12.875341055965894,206.0,310.0,681.0,3
1616,222.88835603433827,43.36879187110738,6.1955032125911655,194.0,342.0,478.0,1
1616,222.17893512390302,85.39864481977801,18.017844229717603,176.0,416.0,1421.0,1
1616,241.99433390502475,65.5072673198462,15.80154152943471,172.0,448.0,917.0,1
1616,250.0,71.4467021721829,14.85320857984673,217.0,274.0,1442.0,1
1616,145.74388804672424,8.628996010227947,5.937516847023008,258.0,357.0,561.0,3
1616,210.33185240327435,42.298096243191935,4.317693172805442,296.0,264.0,722.0,1
1616,250.0,39.35405676808223,15.280150335697297,189.0,315.0,858.0,1
